Timestamp,How often do you participate in sports / exercise?,How afraid of the dark are you?,How interested are you in socializing?,How interested are you in shopping?,I cry when I feel down or things don't go the right way.,I find it very difficult to get up in the morning.,I have a lot of friends,I believe all my personality traits are positive.,I feel lonely in life.,I always listen to my parents' advice.,I live a very healthy lifestyle in regards to my diet.,I wish I could change the past because of the things I have done.,I always have good dreams.,I am reliable at work and always complete all tasks given to me.,I am 100% happy with my life.,My moods change quickly.,I often study or work even in my spare time.,I always let other people know about my achievements.,"Height (in # of inches, don't include units)",Age,Weight (in pounds; don't include units)
11/30/18 15:59,4,3,5,5,4,4,4,2,3,5,4,3,3,4,2,2,2,3,68,20,153
11/30/18 16:00,3,2,4,4,2,1,3,5,2,2,2,1,1,4,4,3,4,3,6.83929E+11,20,150
11/30/18 16:00,4,2,4,2,4,3,4,2,4,4,3,4,2,5,3,4,2,3,64,19,130
11/30/18 16:01,5,2,3,1,4,1,3,3,2,5,4,1,3,5,3,4,5,2,67,19,145
11/30/18 16:01,5,2,4,4,2,1,4,2,3,4,3,2,1,3,2,4,3,3,67,21,135
11/30/18 16:02,3,1,4,1,5,4,4,3,2,4,4,2,3,4,4,4,2,3,67,19,140
11/30/18 16:09,5,3,5,3,2,3,4,4,2,4,3,2,2,4,4,3,4,4,67,21,138
11/30/18 16:10,2,3,4,5,5,4,5,3,2,3,4,2,2,4,4,4,3,5,64,21,125
11/30/18 16:12,1,2,4,4,2,1,3,2,2,1,1,1,3,5,3,2,4,4,66,20,147
11/30/18 16:12,4,2,2,3,3,5,2,2,3,2,4,5,3,4,3,2,2,2,67,20,155
11/30/18 16:17,5,5,4,4,5,4,3,2,4,4,3,3,1,5,1,4,4,1,65,19,150
11/30/18 16:26,3,4,5,4,2,1,4,2,3,2,2,1,1,5,2,3,4,2,66,20,140
11/30/18 16:38,5,2,5,5,4,3,4,1,3,4,4,1,1,5,2,4,4,4,69,20,140
11/30/18 16:48,4,1,4,5,4,4,4,2,4,5,2,5,4,5,1,5,1,2,64,20,141
11/30/18 17:04,4,1,5,5,4,5,5,3,1,2,4,3,2,5,3,2,4,3,61,19,122
11/30/18 19:10,5,5,2,1,2,2,3,2,1,2,2,2,2,5,1,2,5,1,60,20,180
11/30/18 21:06,5,4,5,5,2,1,4,4,1,4,3,1,1,3,4,2,3,3,67,22,150
11/30/18 21:15,5,2,4,4,3,4,5,1,2,2,4,3,1,2,2,2,1,5,72,23,206
12/1/18 0:00,5,2,4,3,5,4,4,2,4,4,4,4,2,5,1,4,3,1,57,18,146
12/1/18 6:56,5,2,4,5,4,1,3,2,4,3,5,2,2,4,4,3,4,3,68,21,165
12/2/18 12:04,5,3,4,4,3,4,3,2,4,4,5,3,1,5,3,3,5,1,67.5,20,145
