Sport,Dark,Fun.with.friends,Shopping,Cry,Get Up,Number.of.friends,Personality,Energy.levels,Loneliness,Parents..advice,Healthy.eating,Changing.the.past,Dreams,Reliability,Happiness.in.life,Mood.swings,Work,Achievement,Height,Age,Weight
3,5,4,1,1,5,5,3,2,2,1,5,2,2,5,4,2,1,1,68,21,130
2,4,3,4,5,5,5,3,1,2,2,3,4,1,2,2,4,2,2,64,20,135
3,2,4,4,4,4,5,4,3,4,2,4,1,4,4,3,4,3,4,67,20,143
2,2,3,4,2,4,3,2,2,2,2,1,2,2,5,4,2,1,2,64,20,105
4,2,4,4,1,3,4,3,5,2,5,3,3,3,3,4,2,4,2,64,20,125
3,2,4,3,3,5,3,3,2,1,5,3,4,2,3,3,3,3,1,69,21,140
5,2,5,4,3,4,4,1,4,3,3,2,4,2,5,2,4,4,2,65,23,140
5,4,5,4,2,1,4,4,3,2,4,4,1,2,4,4,4,2,3,67,22,150
5,1,4,4,3,5,4,4,3,4,3,4,5,2,4,1,4,4,3,71,24,180
4,2,5,2,1,3,4,3,4,2,4,3,2,3,5,4,2,4,2,70,21,170
4,1,5,4,2,2,4,2,3,4,2,3,3,2,2,3,4,1,3,69,20,150
5,2,4,4,2,4,5,3,2,2,4,2,3,2,4,4,4,5,3,69,19,155
5,1,3,4,1,5,3,2,2,4,3,3,4,3,4,3,3,2,3,71,21,155
3,3,2,3,3,4,2,3,2,4,4,3,3,4,5,3,2,3,4,69,20,155
4,1,5,3,1,2,5,4,3,3,4,3,2,3,4,5,3,5,4,69,21,173
4,2,4,1,1,2,4,3,3,1,3,3,2,2,5,4,1,1,3,74,20,165
3,2,5,5,2,2,4,1,3,2,3,3,5,2,5,3,3,2,4,72,20,160
1,4,5,3.411764706,1,1,5,4,3,1,3,1,3,5,5,5,1,1,1,70,20,300
5,2,4,3,1,1,5,4,4,2,3,4,3,4,4,4,2,4,3,72,19,190
4,2,2,2,3,3,3,2,3,3,2,3,3,3,2,1,1,2.736842105,2,68.63157895,30,159
3,2,3,3,2,4,3,2,4,4,1,3,5,3,2,2,4,2,4,67,22,160
3,2,4,3,1,5,3,1,2,3,2,2,2,4,3,2,3,2,4,72,20,175
4,3,4,4,2,2,3,2,2,3,3,3,5,3,4,1,4,5,3,69,20,170
4,1,5,3,1,3,5,4,4,1,2,2,4,3,5,4,2,4,2,73,21,192
4,5,4,4,3,3,3,2,2,3,3,4,4,2,4,3,4,4,3,66,22,130
